Supplier, Component,Round,Rejection (%),Order lines previous round,Purchase value previous round,Transport costs previous round,Demand per week (piece or liter),Amount purchased previous round (piece or liters),Purchase price,Order size
Plantin PET,PET,5,0.03,10.27,273800.246,115189.6097,197993.8552,5308254,0.0516,516868.4746
Plantin PET,PET,6,0.0266,10.3861,305351.966,128306.4406,221638.6833,5925218,0.0515,570496.4246
Trio PET PLC,PET,0,0.0589,5.9183,307931.2057,145393.1825,204296.6023,5631948,0.0547,951612.3529
Trio PET PLC,PET,1,0.057,5.9183,308746.3362,145714.3914,204637.9748,5643196,0.0547,953512.9412
Trio PET PLC,PET,2,0.0568,5.9473,297578.9852,140249.0318,197347.5195,5428915,0.0548,912831.8049
Trio PET PLC,PET,3,0.0566,11.4885,298249.0753,141273.2458,197310.9563,5416695,0.0551,471488.1818
Trio PET PLC,PET,4,0.0572,12.1268,299165.87,142033.9531,197388.1366,5438973,0.055,448510.0478
Seitan Vitamins,Vitamin C,0,0.012,4.6998,2294.5504,1591.6189,183.9967,4852,0.4729,1032.4074
Seitan Vitamins,Vitamin C,1,0.0,4.7289,2335.3291,1598.0302,186.5914,4867,0.4799,1029.1411
Seitan Vitamins,Vitamin C,2,0.0,4.8449,2381.3976,1644.5126,192.5441,5019,0.4745,1035.9281
Seitan Vitamins,Vitamin C,3,0.0,8.8775,2773.6327,2058.045,187.116,4874,0.5691,549.0196
Seitan Vitamins,Vitamin C,4,0.0,9.2256,2769.4176,2070.8677,182.5123,4758,0.5821,515.7233
Seitan Vitamins,Vitamin C,5,0.0138,8.0652,2673.203,1961.8746,183.8063,4845,0.5518,600.7194
Seitan Vitamins,Vitamin C,6,0.0177,8.1232,2863.1481,2075.6762,202.4808,5331,0.5371,656.25
Mossi Mango,Mango,5,0.0109,2.669,73092.754,4055.182,3059.9401,80071,0.9128,30000.0
Mossi Mango,Mango,6,0.0096,3.0172,83115.3752,4584.1188,3440.377,90516,0.9182,30000.0
NO8DO Mango,Mango,0,0.0049,5.3091,81657.5009,3314.0294,3164.9045,82276,0.9925,15497.2678
NO8DO Mango,Mango,1,0.0049,5.3091,81657.5009,3314.0294,3164.9045,82276,0.9925,15497.2678
NO8DO Mango,Mango,2,0.0058,5.3671,79058.9648,3247.3513,3060.3534,80071,0.9874,14918.9189
NO8DO Mango,Mango,3,0.0083,10.5892,86581.9852,11819.9741,3066.1372,80318,1.078,7584.9315
NO8DO Mango,Mango,4,0.0,11.1694,85111.2449,11692.7087,3032.927,78875,1.0791,7061.6883
Miami Oranges,Orange,0,0.0103,5.3961,409042.2309,35046.0693,35360.3394,931265,0.4392,172580.6452
Miami Oranges,Orange,1,0.0103,5.3671,404905.7015,34881.7783,35409.6375,926914,0.4368,172702.7027
Miami Oranges,Orange,2,0.0105,5.3961,396242.6607,34276.7067,34672.9576,910377,0.4353,168709.6774
Miami Oranges,Orange,3,0.0088,9.6318,388131.2926,34124.437,33921.6499,890359,0.4359,92439.759
Miami Oranges,Orange,4,0.0,9.7188,381715.5369,33591.4931,33664.1713,875563,0.436,90089.5522
Miami Oranges,Orange,5,0.0125,9.3127,396027.4097,34753.5512,34466.4116,908636,0.4358,97570.0935
Miami Oranges,Orange,6,0.0112,9.4867,443018.838,38656.4636,38625.3255,1013948,0.4369,106880.7339
Brit Pack,Pack 1 liter,5,0.0327,10.125,109651.5825,4993.3556,129152.6333,3481644,0.0315,343867.0487
Brit Pack,Pack 1 liter,6,0.0317,10.0089,121456.2778,5268.0181,144849.3115,3900244,0.0311,389676.5217
Mono Packaging Materials,Pack 1 liter,0,0.0363,5.7443,110691.8301,4552.0621,132257.2227,3559348,0.0311,619636.3636
Mono Packaging Materials,Pack 1 liter,1,0.0362,5.6862,111244.1564,4557.1911,132414.2747,3563359,0.0312,626664.4898
Mono Packaging Materials,Pack 1 liter,2,0.0375,5.7443,109905.575,4493.7187,130425.0201,3513729,0.0313,611694.5455
Mono Packaging Materials,Pack 1 liter,3,0.0354,10.9953,107934.7932,5575.9554,126681.2285,3411961,0.0316,310310.5013
Mono Packaging Materials,Pack 1 liter,4,0.0365,11.6626,106773.4339,5609.9356,125181.6124,3378874,0.0316,289719.403
