Supplier,Round,Delivery reliability (%),Rejection  (%),Deliveries previous round,Order lines previous round,Purchase  value previous round,Transport costs previous round
Plantin PET,5,0.9336,0.03,10.27,10.27,273800.246,115189.6097
Plantin PET,6,0.9411,0.0266,10.3861,10.3861,305351.966,128306.4406
Trio PET PLC,0,0.8411,0.0589,5.9183,5.9183,307931.2057,145393.1825
Trio PET PLC,1,0.8829,0.057,5.9183,5.9183,308746.3362,145714.3914
Trio PET PLC,2,0.8814,0.0568,5.9473,5.9473,297578.9852,140249.0318
Trio PET PLC,3,0.8957,0.0566,11.4885,11.4885,298249.0753,141273.2458
Trio PET PLC,4,0.9021,0.0572,12.1268,12.1268,299165.87,142033.9531
Seitan Vitamins,0,0.8146,0.012,4.6998,4.6998,2294.5504,1591.6189
Seitan Vitamins,1,0.994,0.0,4.7289,4.7289,2335.3291,1598.0302
Seitan Vitamins,2,0.935,0.0,4.8449,4.8449,2381.3976,1644.5126
Seitan Vitamins,3,0.9494,0.0,8.8775,8.8775,2773.6327,2058.045
Seitan Vitamins,4,0.9482,0.0,9.2256,9.2256,2769.4176,2070.8677
Seitan Vitamins,5,0.9386,0.0138,8.0652,8.0652,2673.203,1961.8746
Seitan Vitamins,6,0.9483,0.0177,8.1232,8.1232,2863.1481,2075.6762
Mossi Mango,5,0.8913,0.0109,2.669,2.669,73092.754,4055.182
Mossi Mango,6,0.9327,0.0096,3.0172,3.0172,83115.3752,4584.1188
NO8DO Mango,0,0.9369,0.0049,5.3091,5.3091,81657.5009,3314.0294
NO8DO Mango,1,0.9369,0.0049,5.3091,5.3091,81657.5009,3314.0294
NO8DO Mango,2,0.8558,0.0058,5.3671,5.3671,79058.9648,3247.3513
NO8DO Mango,3,0.8448,0.0083,10.5892,10.5892,86581.9852,11819.9741
NO8DO Mango,4,0.8467,0.0,11.1694,11.1694,85111.2449,11692.7087
Miami Oranges,0,0.9776,0.0103,5.3961,5.3961,409042.2309,35046.0693
Miami Oranges,1,0.9474,0.0103,5.3671,5.3671,404905.7015,34881.7783
Miami Oranges,2,0.9455,0.0105,5.3961,5.3961,396242.6607,34276.7067
Miami Oranges,3,0.9482,0.0088,9.6318,9.6318,388131.2926,34124.437
Miami Oranges,4,0.9493,0.0,9.7188,9.7188,381715.5369,33591.4931
Miami Oranges,5,0.9521,0.0125,9.3127,9.3127,396027.4097,34753.5512
Miami Oranges,6,0.9562,0.0112,9.4867,9.4867,443018.838,38656.4636
Brit Pack,5,0.9605,0.0327,10.125,10.125,109651.5825,4993.3556
Brit Pack,6,0.9406,0.0317,10.0089,10.0089,121456.2778,5268.0181
Mono Packaging Materials,0,0.923,0.0363,5.7443,5.7443,110691.8301,4552.0621
Mono Packaging Materials,1,0.9592,0.0362,5.6862,5.6862,111244.1564,4557.1911
Mono Packaging Materials,2,0.9593,0.0375,5.7443,5.7443,109905.575,4493.7187
Mono Packaging Materials,3,0.9668,0.0354,10.9953,10.9953,107934.7932,5575.9554
Mono Packaging Materials,4,0.9674,0.0365,11.6626,11.6626,106773.4339,5609.9356
