Warehouse, Salesarea,Round,Capacity,Usage,Cube utilization (%),Overflow (%),Orderlines per week,Pallets/Tanks per week,Hours per week,Flexible manpower (FTE)
Raw materials warehouse,,0,900,840.48,0.9339,0.1081,1.0411,212.4414,73.7963,0.1546
Raw materials warehouse,,1,1000,1064.75,1.0648,0.1421,1.0377,212.8152,79.0912,0.2426
Raw materials warehouse,,2,650,604.86,0.9305,0.1529,1.0489,205.0324,70.1197,0.3568
Raw materials warehouse,,3,600,405.19,0.6753,0.0108,1.9661,215.0692,60.9737,0.0495
Raw materials warehouse,,4,1000,809.25,0.8092,0.0063,2.0576,214.5057,64.9109,0.0012
Raw materials warehouse,,5,1000,839.46,0.8395,0.0429,1.5454,196.8221,68.9188,0.1679
Raw materials warehouse,,6,900,942.11,1.0468,0.1411,1.5666,220.4575,86.867,0.4721
Tank yard,,0,20,5.8538,0.0,0.0,0.2075,1.195,,
Tank yard,,1,20,5.6871,0.0,0.0,0.2064,1.195,,
Tank yard,,2,20,6.235,0.0,0.0,0.2075,1.1683,,
Tank yard,,3,20,3.1009,0.0,0.0,0.366,1.1381,,
Tank yard,,4,20,5.3524,0.0,0.0,0.3716,1.1225,,
Tank yard,,5,20,6.8172,0.0,0.0,0.4586,1.2653,,
Tank yard,,6,20,7.5115,0.0,0.0,0.4787,1.416,,
Finished goods warehouse,DC Netherlands,0,1500,1061.1232,0.7074,0.0015,17.8175,334.5302,99.8428,0.0853
Finished goods warehouse,DC Netherlands,1,1100,1075.1169,0.9774,0.0779,17.8175,334.5302,120.519,0.7244
Finished goods warehouse,DC Netherlands,2,1100,967.553,0.8796,0.0379,17.8175,334.5302,110.1163,0.1868
Finished goods warehouse,DC Netherlands,3,750,487.5784,0.6501,0.0066,17.8175,334.5302,100.5978,0.2216
Finished goods warehouse,DC Netherlands,4,800,650.2874,0.8129,0.0221,17.8175,334.5302,100.2866,0.1228
Finished goods warehouse,DC Netherlands,5,800,997.7869,1.2472,0.2136,17.8175,334.5302,132.8565,0.9598
Finished goods warehouse,DC Netherlands,6,1050,888.9373,0.8466,0.0269,17.8175,334.5302,115.8146,0.273
